"","PeriodID","PeriodValue","Latitude","Longitude","SentimentType","Type","EntityName"
"251",32,"12 Feb 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"252",32,"12 Feb 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"253",32,"12 Feb 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"254",32,"12 Feb 2015",50.8881742,5.9794988,0,"O","Joe Biden"
"255",32,"12 Feb 2015",10.466667,-68.016667,0,"O","Joe Biden"
"256",32,"12 Feb 2015",32.912624,-96.6388833,1,"P","Joe Biden"
"257",32,"12 Feb 2015",33.7455731,-117.8678338,-1,"N","Joe Biden"
"258",32,"12 Feb 2015",40.6084305,-75.4901833,1,"P","Joe Biden"
"259",32,"12 Feb 2015",40.7830603,-73.9712488,-1,"N","Joe Biden"
"260",32,"12 Feb 2015",48.1351253,11.5819806,1,"P","Joe Biden"
"261",32,"12 Feb 2015",40.8370495,-73.8654295,1,"P","Joe Biden"
"262",32,"12 Feb 2015",40.0149856,-105.2705456,1,"P","Joe Biden"
"263",32,"12 Feb 2015",33.2098407,-87.5691735,-1,"N","Joe Biden"
"264",32,"12 Feb 2015",40.6781784,-73.9441579,1,"P","Joe Biden"
"265",32,"12 Feb 2015",39.011902,-98.4842465,0,"O","Joe Biden"
"266",32,"12 Feb 2015",53.3498053,-6.2603097,-1,"N","Joe Biden"
"267",32,"12 Feb 2015",48.379433,31.16558,-1,"N","Joe Biden"
"268",32,"12 Feb 2015",48.1351253,11.5819806,1,"P","Joe Biden"
"269",32,"12 Feb 2015",48.1351253,11.5819806,1,"P","Joe Biden"
"270",32,"12 Feb 2015",48.1351253,11.5819806,1,"P","Joe Biden"
"271",32,"12 Feb 2015",42.933692,-72.2781409,-1,"N","Joe Biden"
"272",35,"22 May 2015",59.40540081,13.56552213,1,"P","Joe Biden"
"273",35,"22 May 2015",27.91668884,-82.49237558,1,"P","Joe Biden"
"274",35,"22 May 2015",53.3873331,-2.06703758,-1,"N","Joe Biden"
"275",35,"22 May 2015",39.98983618,-78.5409381,-1,"N","Joe Biden"
"276",35,"22 May 2015",39.98966877,-78.54106192,1,"P","Joe Biden"
"277",32,"12 Feb 2015",42.3600825,-71.0588801,0,"O","Joe Biden"
"278",35,"22 May 2015",40.7057741,-74.0822864,1,"P","Joe Biden"
"279",35,"22 May 2015",34.00274611,-81.02265439,0,"O","Joe Biden"
"280",35,"22 May 2015",50.4492201,-104.3993411,1,"P","Joe Biden"
"281",35,"22 May 2015",29.889443,-97.9404158,1,"P","Joe Biden"
"282",35,"22 May 2015",30.52483791,-89.98759478,-1,"N","Joe Biden"
"283",35,"22 May 2015",38.91626047,-77.04525257,1,"P","Joe Biden"
"284",35,"22 May 2015",29.57812152,-98.53784261,-1,"N","Joe Biden"
"285",35,"22 May 2015",41.65861044,-91.49815503,1,"P","Joe Biden"
"286",35,"22 May 2015",39.35803482,-84.33947783,1,"P","Joe Biden"
"287",35,"22 May 2015",40.75124255,-73.9985019,0,"O","Joe Biden"
"288",35,"22 May 2015",36.9911916,-86.4479745,-1,"N","Joe Biden"
"289",35,"22 May 2015",40.14700666,-74.9617228,-1,"N","Joe Biden"
"290",35,"22 May 2015",42.61626,-70.7241555,1,"P","Joe Biden"
"291",35,"22 May 2015",45.5154365,-122.685671,-1,"N","Joe Biden"
"292",35,"22 May 2015",42.11795107,-77.07337922,-1,"N","Joe Biden"
"293",35,"22 May 2015",39.29985283,-84.31752972,0,"O","Joe Biden"
"294",35,"22 May 2015",44.9655978,-93.24187069,-1,"N","Joe Biden"
"295",35,"22 May 2015",40.88441249,-96.69768395,-1,"N","Joe Biden"
"296",35,"22 May 2015",-29.867685,30.9145079,1,"P","Joe Biden"
"297",35,"22 May 2015",39.63482559,-119.87643743,1,"P","Joe Biden"
"298",35,"22 May 2015",41.3091421,-72.931683,-1,"N","Joe Biden"
"299",35,"22 May 2015",32.46494846,-84.9852086,-1,"N","Joe Biden"
"300",35,"22 May 2015",42.3080672,-71.4720897,1,"P","Joe Biden"
"301",35,"22 May 2015",40.7111306,-73.9891703,1,"P","Joe Biden"
"302",35,"22 May 2015",36.0661083,-119.0203579,1,"P","Joe Biden"
"303",35,"22 May 2015",38.3697474,-75.5564609,1,"P","Joe Biden"
"304",35,"22 May 2015",41.58012375,-93.61433313,0,"O","Joe Biden"
"305",35,"22 May 2015",40.73809495,-74.00417325,0,"O","Joe Biden"
"306",35,"22 May 2015",37.79431205,-122.39909352,1,"P","Joe Biden"
